City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,ciudad lazaro cardenas,17.9583,-102.2,27.59,69,20,4.36,MX,1703201255
340,laminusa,5.5549,120.9136,27.69,77,72,2.81,PH,1703201255
341,flagstaff,35.1981,-111.6513,13.07,70,75,3.6,US,1703201041
342,katsuura,35.1333,140.3,6.27,53,61,3.76,JP,1703201255
343,zabid,14.1951,43.3152,23.93,70,3,2.23,YE,1703201255
344,ubari,26.5921,12.7805,9.56,54,0,3.38,LY,1703201255
345,bathsheba,13.2167,-59.5167,26.34,89,20,3.6,BB,1703201255
346,saint-philippe,-21.3585,55.7679,24.77,84,21,0.72,RE,1703201256
347,verkhnevilyuysk,63.4453,120.3167,-26.56,90,13,2.77,RU,1703201256
348,mushabani,22.5167,86.45,14.31,55,29,1.61,IN,1703201256
349,imeko,7.45,2.85,23.9,38,12,1.56,NG,1703201256
350,thinadhoo,0.5333,72.9333,27.19,82,100,6.05,MV,1703201256
351,palmas,-10.2128,-48.3603,28.93,65,40,2.57,BR,1703201256
352,burlington,39.8835,-74.6413,4.84,67,0,2.06,US,1703201127
353,nelson bay,-32.7167,152.15,22.78,73,100,4.92,AU,1703201256
354,akjoujt,19.6969,-14.4164,15.98,20,26,4.24,MR,1703201256
355,alangulam,8.8667,77.5,22.96,91,99,0.46,IN,1703201256
356,al jawf,29.5,38.75,16.18,69,91,4.29,SA,1703201256
357,petropavlovsk-kamchatsky,53.0452,158.6483,-19.67,67,0,4.92,RU,1703201257
358,belyy yar,53.6039,91.3903,-16.06,92,100,0.0,RU,1703201257
359,remire-montjoly,4.9167,-52.2667,28.02,89,40,2.57,GF,1703201257
360,nieuw amsterdam,5.8833,-55.0833,28.34,86,20,3.09,SR,1703201257
